Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
STAT3 20064451 ChIP-Seq CD4+T Mouse,38/843,4.51E-15,3.27E-12,0,0,5.534928303,182.8380567,PGLYRP2;CSF1;CITED2;GIMAP4;GLRX;FURIN;CROT;SLA2;ICAM1;RCBTB2;RAP1B;GLIPR1;CXCR3;CCL5;GPR171;ORMDL3;CASP4;JAK2;IL12RB1;GBP2;S100A11;S100A10;SLAMF1;DUSP5;UBE2H;DGAT1;IFNGR1;IL10RA;GZMB;VPS37B;PNRC2;TPST2;RNF125;MAF;ID2;SPATA13;IL2RB;RAB19
MYB 26560356 Chip-Seq TH2 Human,52/1629,2.66E-14,9.67E-12,0,0,4.060035305,126.9031308,WIPF1;CITED2;NGLY1;SLA;GIMAP4;PRDM1;LYST;PSTPIP1;SESN1;GPR171;EPSTI1;ANXA6;CCR5;CDK5RAP3;DUSP5;ANXA2;SH2D3C;TRAFD1;VPS37B;RHOC;LIME1;SDCBP2;DOK2;RNF125;MAF;S100A6;CD226;S100A4;ATF6;L3MBTL3;ITPR1;TAPBPL;FOXO3;CLN3;GNA15;PMVK;BAK1;IL12RB1;BID;GBP2;SLAMF1;IL10RA;SH2D1A;NKG7;NBEAL2;ARPC5;SNX20;PNRC2;RAB19;ASB2;MYO1F;SNTB2
STAT4 19710469 ChIP-ChIP TH1 Mouse,39/1027,4.52E-13,1.09E-10,0,0,4.612291599,131.1090671,L3MBTL3;GMFG;ITPR1;SLA;GSTT2;GIMAP4;FURIN;GIMAP5;HIF1A;GIMAP7;ICAM1;ACTG1;GLIPR1;RGS3;IRAK2;CASP1;IL12RB1;GBP2;CTSD;S100A10;SLAMF1;TPI1;DGAT1;APAF1;IL10RA;SH2D3C;TRIP4;NKG7;GZMB;VPS37B;LIME1;TPST2;PRPF18;MAF;NUCB1;RAB19;CD226;ASB2;ATF6
MECOM 23826213 ChIP-Seq KASUMI Mouse,48/1527,6.02E-13,1.09E-10,0,0,3.911818085,110.0709623,INPP1;GMFG;ITGB3;SLA;GLRX;FURIN;PPM1J;PRDM1;SLA2;LYST;LITAF;CENPA;OAZ2;PLD3;ICAM1;RAP1B;CLN3;GLIPR1;PSTPIP1;GNA15;PODNL1;PGLYRP1;BID;S100A10;SLAMF1;ANXA2;IL10RA;ITPK1;F2R;SH2D3C;TRAFD1;NKG7;ARPC5;TEX2;TMEM154;VAMP8;DOK2;RNF125;PRPF18;RANBP10;UNC119;NUCB1;PLEKHO2;EIF4E2;ATF6;VAMP5;MYO1F;TMEM229B
MYB 21317192 ChIP-Seq ERMYB Mouse,31/767,3.32E-11,4.82E-09,0,0,4.751286339,114.6403303,TBC1D9B;CSF1;WIPF1;CITED2;ITPR1;GLRX;FOXO3;HSD11B1;RAP1B;GLIPR1;CCL5;SNX9;OSTF1;JAK2;BID;S100A10;UBE2H;APAF1;IFNGR1;TMEM120A;HPCAL1;TRAFD1;TEX2;TMEM154;VAMP8;SPATA13;ZYX;PLEKHO2;VAMP5;MYO1F;SNTB2
FOXO1 25302145 ChIP-Seq T-LYMPHOCYTE Mouse,46/1599,4.31E-11,5.21E-09,0,0,3.509596006,83.76874824,WIPF1;CITED2;INPP1;GMFG;ITGB3;SLA;GSTT2;DTX1;GLRX;PRDM1;FOXO3;LYST;GIMAP7;ICAM1;RCBTB2;RAP1B;SH3BGRL;PSTPIP1;CCL5;PMVK;ANXA6;NCK2;SNX9;S100A11;S100A10;SLAMF1;KLRG1;TPI1;IFNGR1;GALNT2;F2R;SH2D3C;GZMB;VPS37B;DNAJC15;DUSP7;TMEM154;TPST2;RNF125;PRPF18;LPCAT4;ID2;ZYX;S100A6;MXD1;SNTB2
IRF8 27001747 Chip-Seq BMDM Mouse,40/1500,9.16E-09,9.50E-07,0,0,3.140410959,58.12253105,CSF1;WIPF1;ITPR1;SLA;AK3;GLRX;TAPBPL;HIF1A;LITAF;ACTG1;RAP1B;GLIPR1;GNA15;SESN1;CCL5;EPSTI1;EFHD2;CCR5;JAK2;BID;GBP2;CTSD;S100A10;CCR2;ENTPD1;ITPK1;HPCAL1;TRAFD1;VPS37B;SYTL2;DUSP7;PNRC2;DOK2;ZYX;S100A6;PXMP4;RIN3;PLEKHO2;MXD1;TMEM229B
HNF1A 27111144 ChIP-Seq CD8+TCells Mouse Blood Lymphoma,61/3109,7.05E-08,6.40E-06,0,0,2.411941313,39.71776232,HIP1;NARF;WIPF1;CITED2;GMFG;NGLY1;SLA;CROT;GIMAP5;GIMAP7;ICAM1;RGS3;ADGRE5;CHMP1B;EPSTI1;OSTF1;DUSP5;DGAT1;F2R;SH2D3C;TRAFD1;TENT5A;VPS37B;DUS2;TPST2;RNF125;PRPF18;PEAK1;NPC2;SELENOP;SIDT1;PLEKHO2;INPP1;ITPR1;GSTT2;GLRX;ABCB9;FOXO3;HIF1A;CENPA;OAZ2;PLD3;IRAK2;HLTF;ORMDL3;GBP2;SLAMF1;KDM4A;IL10RA;NKG7;UBE2G2;ARPC5;PNRC2;PINK1;ID2;IL2RB;RANBP10;NUCB1;PXMP4;RAB19;SIPA1
BRD4 27068464 Chip-Seq AML-cells Mouse,39/1597,1.52E-07,1.23E-05,0,0,2.836244907,44.52645602,L3MBTL3;TBC1D9B;WIPF1;INPP1;GMFG;ITGB3;GSTT2;FOXO3;LITAF;RCBTB2;ACTG1;HSD11B1;RAP1B;GNA15;CCL5;NCK2;OSTF1;BID;S100A10;CCR2;DGAT1;APAF1;SH2D1A;ITPK1;SH2D3C;HPCAL1;UBE2G2;ARPC5;RHOC;TEX2;SNX20;SORL1;PNRC2;DOK2;MAF;ID2;EHBP1L1;ATF6;TMEM229B
SCL 21571218 ChIP-Seq MEGAKARYOCYTES Human,37/1478,1.83E-07,1.33E-05,0,0,2.892005807,44.87001328,HIP1;CSF1;GMFG;ITPR1;AK3;SLC2A3;FURIN;ABCB9;LYST;RCBTB2;HSD11B1;SH3BGRL;GNA15;CCL5;PMVK;EPSTI1;ANO10;BAK1;KDM4A;GALNT2;HPCAL1;TRIP4;NBEAL2;VPS37B;TEX2;DNAJC15;SORL1;ASRGL1;DUSP7;TPST2;EHBP1L1;ZYX;RAB19;CD226;RIN3;PLEKHO2;SIPA1
